PRODUCT_KEY;PRODUCT_ID;PRODUCT_NAME;CURRENT_CATALOG_NAME;NORMALIZED_DIRECTION;CATALOG_MATCH_STATUS;GOODS_PRESENT;SECTION_NAME;PARENT_SECTION;COST_PRICE;COEFFICIENT;OFFER_ROWS;OFFER_DEALS;OFFER_QTY_LADDER;ORDER_ROWS;ORDER_DEALS;TOTAL_ORDER_QTY;CURRENT_BASE_PRICE;ORDER_PRICE_P25;ORDER_PRICE_P50;ORDER_PRICE_P75;ORDER_QTY_P25;ORDER_QTY_P50;ORDER_QTY_P75;PRICE_RATIO_P25;PRICE_RATIO_P50;PRICE_RATIO_P75;PRICE_RATIO_MIN;PRICE_RATIO_MAX;PRICE_RATIO_RANGE;PRICE_MODE;CONFIDENCE_TIER;MANUAL_REVIEW_REASON
9604;9604;Таблички монтаж на скотч за 1 шт 1-3 шт Цех;Таблички монтаж на скотч за 1 шт 1-3 шт Цех;Цех;catalog;Y;Монтаж;Таблички;90;0.11;2;2;1|3;25;22;82;180;120;140;143;1;2;4;0.6667;0.7778;0.7944;0.6222;1.0889;0.4667;guided;medium;requires_context_lookup
10856;10856;Макет плаката информационного Простой 1 решение;Макет плаката информационного Простой 1 решение;Дизайн;catalog;Y;Плакаты;Дизайн;1000;0.06;3;3;1;24;21;40.85;2000;2000;2000;2000;1;1;1.5625;1;1;1;1;1.5;0.5;guided;medium;requires_context_lookup
13652;13652;Макет одностраничного меню Простой формат А4;Макет одностраничного меню Простой формат А4;Дизайн;catalog;Y;Меню;Дизайн;1500;0.06;4;4;1|2;24;24;26.38;3000;1000;1000;2000;1;1;1.0325;0.3333;0.3333;0.6667;0.3333;1;0.6667;manual;low;high_price_variance
16058;16058;Махачкала Дахадаева 88 Рим Сторона Б 42.97487, 47.50008;Махачкала Дахадаева 88 Рим Сторона Б 42.97487, 47.50008;РИК;catalog;Y;Щит;Махачкала;15000;0.2;0;0;;24;24;22.83;22000;18000;22000;22000;0.9091;0.9445;1.2223;0.8182;1;1;0.8182;1;0.1818;guided;medium;requires_context_lookup
18084;18084;Каспийск Ленина 20 Следственный отдел Сторона А 42.88895, 47.64;Каспийск Ленина 20 Следственный отдел Сторона А 42.88895, 47.64;РИК;catalog;Y;Щит;Каспийск;20000;0.2;0;0;;24;24;24.23;25000;15000;15000;17600;0.8333;1;1;0.6;0.6;0.704;0.5;1;0.5;guided;medium;requires_context_lookup
20746;20746;Махачкала Гагарина 56 Малыш Сторона 1 42.95693, 47.50098;Махачкала Гагарина 56 Малыш Сторона 1 42.95693, 47.50098;РИК;catalog;Y;Брандмауэр;Махачкала;8000;;0;0;;24;24;21.82;15000;15000;16500;16500;0.7576;1;1;1;1.1;1.1;1;1.1;0.1;guided;medium;requires_context_lookup
20748;20748;Махачкала Гагарина 56 Малыш Сторона 2 42.95693, 47.50098;Махачкала Гагарина 56 Малыш Сторона 2 42.95693, 47.50098;РИК;catalog;Y;Брандмауэр;Махачкала;8000;;1;1;1;24;24;21.45;15000;15000;17000;17000;0.7353;1;1;1;1.1333;1.1333;1;1.1333;0.1333;guided;medium;requires_context_lookup
21400;21400;Макет поста для социальных сетей Простой 1 решение;Макет поста для социальных сетей Простой 1 решение;Дизайн;catalog;Y;Дизайн поста;Для соц. сетей;500;0.05;1;1;1;24;24;70;1000;1000;1000;1050;1;1.75;3;1;1;1.05;1;1.05;0.05;guided;medium;requires_context_lookup
25866;25866;Подготовка макета к производству Средней сложности за 1 макет;Подготовка макета к производству Средней сложности за 1 макет;Дизайн;catalog;Y;Дизайн;;500;0.06;0;0;;24;24;28.99;1000;1050;1050;1050;1;1;1;1.05;1.05;1.05;1;1.05;0.05;guided;medium;requires_context_lookup
4326;4326;А3 Ламинация глянцевая 25мкр 5-10 шт Печатная;А3 Ламинация глянцевая 25мкр 5-10 шт Печатная;Печатная;catalog;Y;Ламинация;А3;15.97;0.09;0;0;;24;24;176;55.1;44.305;51;55.1;5;8;9.5;0.8041;0.9256;1;0.6811;1.2109;0.5298;manual;low;high_price_variance
