PRODUCT_ID;PRODUCT_NAME;NORMALIZED_DIRECTION;ORDER_ROWS;PRICE_MODE;CONFIDENCE_TIER;PRICE_RATIO_RANGE;CURRENT_BASE_PRICE;ORDER_PRICE_P50;MANUAL_REVIEW_REASON
22428;Рендеринг Средней сложности интерьер;Дизайн;5;manual;low;0;400;400;insufficient_history
22470;Рендеринг Средней сложности экстерьер;Дизайн;5;manual;low;0;400;400;insufficient_history
23924;Точечная пайка гибкого неона 30-60 шт Цех;Цех;5;manual;low;0;600;600;insufficient_history
23966;Махачкала Сурикова Поворот на восточный сторона А 42.95458, 47.5164;РИК;5;manual;low;0;20000;20000;insufficient_history
24112;А4 Ламинация матовая 75мкр 2-8 шт Печатная;Печатная;5;manual;low;0;175;175;insufficient_history
24128;А4 Ламинация матовая 125мкр 2-8 шт Печатная;Печатная;5;manual;low;0;190.5;190.5;insufficient_history
24276;Визитки Ламинация матовая 125мкр 240 Печатная;Печатная;5;manual;low;0;5.21;5.21;insufficient_history
25514;Флаер 21х10 Печать 4+4 1-3 дня 121-360 Печатная;Печатная;5;manual;low;0;15.91;15.91;insufficient_history
25678;Махачкала Имама Шамиля 39А 55 Парамакс сторона Б 42.96398, 47.49956;РИК;5;manual;low;0;55000;55000;insufficient_history
25716;Махачкала Казбекова 318 сторона А 43.01442, 47.4167;РИК;5;manual;low;0;15000;15000;insufficient_history
25718;Махачкала Казбекова 318 сторона Б 43.01442, 47.4167;РИК;5;manual;low;0;15000;15000;insufficient_history
25810;Махачкала Акушинского 265 сторона А1 42.97426, 47.42994;РИК;5;manual;low;0;20000;20000;insufficient_history
4586;А4 Ламинация глянцевая 150мкр 2-8 шт Печатная;Печатная;5;manual;low;0;112.83;112.83;insufficient_history
5186;Хайкот Флаер(21х10) Бумага 230 гр. 1 шт Печатная;Печатная;5;manual;low;0;1.46;1.46;insufficient_history
5330;Визитки Ламинация глянцевая 150мкр 240 Печатная;Печатная;5;manual;low;0;3.03;3.03;insufficient_history
7912;Тачкавер бум. А4 черный 1 шт Печатная;Печатная;5;manual;low;0;126;126;insufficient_history
8118;Пресс-волл на рейке с учетом рейки более 50 кв.м Цех;Цех;5;manual;low;0;1100;880;insufficient_history
10208;Махачкала Амет-Хана Султана 90/1 фурнимаркет Сторона Б 42.92793, 47.52017;РИК;4;manual;low;0;17600;17600;insufficient_history
10224;"Махачкала Амет-Хана Султана 114 БЗ ""Элита"" Сторона Б 42.92237, 47.52166";РИК;4;manual;low;0;14300;14300;insufficient_history
10430;"Макет блока на сайт к пакету ""Доступный"" 1 устройстро";Дизайн;4;manual;low;0;2500;1000;insufficient_history
10684;Демонтаж подложки на каркас композит 20-50 кв.м Цех;Цех;4;manual;low;0;330;220;insufficient_history
10706;Верстка буклета А4 2 сгиба сложная 1 сторона;Дизайн;4;manual;low;0;5000;2000;insufficient_history
11200;Доработка иллюстрации сложная 1 решение;Дизайн;4;manual;low;0;4000;2000;insufficient_history
11360;Выезд Кумух 150 км 2,4 ч Цех;Цех;4;manual;low;0;8000;6000;insufficient_history
13936;Ручка Ресайклд из бумаги с колпачком от 100 шт;Мерч;4;manual;low;0;82.4;87.25;insufficient_history
16040;"Махачкала Дахадаева 22 Кофейня ""ЗМ"" Сторона Б 42.9815, 47.50699";РИК;4;manual;low;0;5000;17600;insufficient_history
16142;Махачкала Имама Шамиля 15Б второй Муз Маркет Сторона Б 42.97645, 47.48155;РИК;4;manual;low;0;17600;17600;insufficient_history
16220;Махачкала Имама Шамиля 29 Напротив Мед академии Сторона Б 42.97064, 47.49042;РИК;4;manual;low;0;17600;17600;insufficient_history
16588;Махачкала Исмаилова 47 Дагфарм Сторона Б 42.97085, 47.48166;РИК;4;manual;low;0;25000;25000;insufficient_history
16616;Махачкала Каммаева Нефтебаза Сторона А2 43.01539, 47.44859;РИК;4;manual;low;0;17600;17600;insufficient_history
16746;Махачкала Магомедтагирова 161Д Тролл кольцо Сторона А1 42.98399, 47.46967;РИК;4;manual;low;0;17600;17600;insufficient_history
16776;Махачкала Магомедтагирова 188 Тролл кольцо Сторона Б3 42.98393, 47.46917;РИК;4;manual;low;0;5000;5000;insufficient_history
16794;Махачкала Мирзабекова 117 Сквер им. Мирзабекова Сторона Б 42.99475, 47.48369;РИК;4;manual;low;0;17600;17600;insufficient_history
16908;Махачкала Насрутдинова 58 Апельсин Сторона Б 42.95125, 47.56365;РИК;4;manual;low;0;17600;17600;insufficient_history
17130;Махачкала Ташкентская 36 Буран Сторона А 42.97212, 47.4808;РИК;4;manual;low;0;17600;17600;insufficient_history
21148;Адаптивный дизайн списка простой 1 вариант;Дизайн;4;manual;low;0;1000;1000;insufficient_history
21412;Макет баннера для соц сетей Сложный 1 решение;Дизайн;4;manual;low;0;5000;5000;insufficient_history
21430;Макет обложки меню для соц сетей Сложный 1 решение;Дизайн;4;manual;low;0;2500;2500;insufficient_history
21472;Разработка шрифтового логотипа Средней сложности 1 вариант;Дизайн;4;manual;low;0;5000;5000;insufficient_history
21496;Сольвентная печать на бумаге 140 гр 10-20 кв.м;Сольвент;4;manual;low;0;255;225;insufficient_history
21896;Прокладка кабеля питания к вывеске монтаж 10-30 мп Цех;Цех;4;manual;low;0;182;182;insufficient_history
24052;А3 Ламинация матовая 32мкр 11-20 шт;Печатная;4;manual;low;0;106.67;106.67;insufficient_history
24064;А3 Ламинация матовая 75мкр 1-4 шт;Печатная;4;manual;low;0;350;350;insufficient_history
24280;Визитки Ламинация матовая 125мкр 500 Печатная;Печатная;4;manual;low;0;4.38;4.38;insufficient_history
24980;Манас Манас кольцо первый сторона А 42.72188, 47.66847;РИК;4;manual;low;0;10000;10000;insufficient_history
24984;Манас Манас кольцо второй сторона А 42.72147, 47.66862;РИК;4;manual;low;0;10000;10000;insufficient_history
25508;Флаер 21х10 Печать 4+0 1-3 дня 6 Печатная;Печатная;4;manual;low;0;13.26;13.26;insufficient_history
25868;Подготовка макета к производству Сложного за 1 макет;Дизайн;4;manual;low;0;2000;2100;insufficient_history
5000;Хайкот А6 бум. 230 гр. 1 шт Печатная;Печатная;4;manual;low;0;1.09;1.09;insufficient_history
5288;Визитки Ламинация глянцевая 25мкр 1000 Печатная;Печатная;4;manual;low;0;0.92;0.92;insufficient_history
5402;Маджестик бум. визитки Сияние золота 1 шт Печатная;Печатная;4;manual;low;0;7.29;8.58;insufficient_history
7316;Макет обложки брошюры Средней сложности 1 решение;Дизайн;4;manual;low;0;6000;5000;insufficient_history
7882;Коктейль А3 бум. Белый 1 шт Печатная;Печатная;4;manual;low;0;95.5;95.5;insufficient_history
8198;Тачкавер бум. визитки черный 1 шт Печатная;Печатная;4;manual;low;0;10.5;10.5;insufficient_history
10200;Махачкала Амет-Хана Султана 65 Лада Деталь Сторона Б 42.93045, 47.51905;РИК;3;manual;low;0;14300;14300;insufficient_history
10402;Доработка мокапа текстурирование сложное 1 объект;Дизайн;3;manual;low;0;2000;1000;insufficient_history
10676;Демонтаж подложки на каркас композит 1 кв.м Цех;Цех;3;manual;low;0;450;400;insufficient_history
