PRODUCT_KEY;PRODUCT_ID;PRODUCT_NAME;NORMALIZED_DIRECTION;SECTION_NAME;PARENT_SECTION;COST_PRICE;MARKUP_RATIO;PRICE_MODE;CONFIDENCE_TIER;ORDER_ROWS;OFFER_ROWS;CURRENT_BASE_PRICE;RECOMMENDED_PRICE;SUGGESTED_MIN_PRICE;SUGGESTED_MAX_PRICE;OFFER_QTY_LADDER;MANUAL_REVIEW_REASON;NEAREST_ANALOG_1;NEAREST_ANALOG_2;NEAREST_ANALOG_3
6278;6278;Винил стандартная печать 1-3 кв.м;Сольвент;Сольвент;Самоклейка;380;1.57;guided;medium;101;6;646;595;510;710.6;1.6|2;requires_context_lookup;;;
5352;5352;НЕВИЯ бум. визитки 300 гр. 1 шт Печатная;Печатная;Бумага;Визитки;0.87;1.49;manual;low;99;0;1.3;;;;;high_price_variance;5352:НЕВИЯ бум. визитки 300 гр. 1 шт Печатная;;
21972;21972;Видеомонтаж Простой 1 час;Дизайн;Видеомонтаж;СММ;1000;1;guided;medium;96;1;2000;1000;1000;2200;1;requires_context_lookup;;;
6454;6454;Аппликация прорезка более 100 мп Печатная;Печатная;Аппликация;Самоклейка;10;1.32;manual;low;96;47;20;;;;140|150|180|200|210|250|270|300;high_price_variance;6454:Аппликация прорезка более 100 мп Печатная;;
7256;7256;Печать самоклеящейся бумаги без резки лист 30х45 1 шт Печатная;Печатная;Печать;Стикеры;42.86;2.45;manual;low;94;0;104.2;;;;;high_price_variance;7256:Печать самоклеящейся бумаги без резки лист 30х45 1 шт Печатная;;
4518;4518;А4 Печать 4+4 41-120 шт Печатная;Печатная;Печать;А4;14.75;3.24;manual;low;92;35;47.74;;;;40|50|60|70|80|90|100|120;high_price_variance;4518:А4 Печать 4+4 41-120 шт Печатная;;
7260;7260;Печать самоклеящейся бумаги без резки лист 30х45 21-60 шт Печатная;Печатная;Печать;Стикеры;42.86;1.89;manual;low;91;28;81.22;;;;20|21|22|25|29|30|32|34;high_price_variance;7260:Печать самоклеящейся бумаги без резки лист 30х45 21-60 шт Печатная;;
12356;12356;Макет таблички Простая 1 оригинал-макет;Дизайн;Таблички;Дизайн;250;2;guided;medium;87;4;500;500;450;550;1;requires_context_lookup;;;
7354;7354;Адаптация макета для нового носителя за 1 макет;Дизайн;Дизайн;;500;2;manual;low;86;0;1000;;;;;high_price_variance;7354:Адаптация макета для нового носителя за 1 макет;;
manual:макет;0;Макет;__MANUAL_OR_UNCATEGORIZED__;;;;;manual;low;86;0;;;;;;manual_or_missing_catalog;13508:Макет баскета Простой 1 оригинал-макет;13512:Макет баскета Сложный 1 оригинал-макет;12302:Макет бейджа Простой 1 оригинал-макет
11364;11364;Выезд на замеры средний Цех;Цех;Выезды;;1000;1;manual;low;85;0;2000;;;;;high_price_variance;11364:Выезд на замеры средний Цех;;
4630;4630;Хайкот А4 бум. 180 гр. 1 шт Печатная;Печатная;Бумага;А4;2.25;1.33;manual;low;85;61;3.36;;;;5|10|15|20|30|40|50|60;high_price_variance;4630:Хайкот А4 бум. 180 гр. 1 шт Печатная;;
7846;7846;НЕВИЯ А3 бум. 300 гр. 1 шт Печатная;Печатная;Бумага;А3;20.9;1.49;manual;low;85;16;31.2;;;;6|15|20|30|40|60;high_price_variance;7846:НЕВИЯ А3 бум. 300 гр. 1 шт Печатная;;
8024;8024;Баннер проклейка более 50 мп Цех;Цех;Обработка;Баннер;70;1;guided;medium;85;0;91;70;65;100.1;;requires_context_lookup;;;
4306;4306;А3 Печать 4+0 21-60 шт 1-3 дня Печатная;Печатная;Печать;А3;14.75;3.11;manual;low;82;8;47.74;;;;40|60;high_price_variance;4306:А3 Печать 4+0 21-60 шт 1-3 дня Печатная;;
21954;21954;Мобильная съемка Простая 1 час;Дизайн;Мобильная съемка;СММ;1000;2;auto;high;81;1;2000;2000;2000;2000;1;;;;
8048;8048;Баннер шнуровка более 50 мп Цех;Цех;Обработка;Баннер;30;1.3;manual;low;81;0;39;;;;;high_price_variance;8048:Баннер шнуровка более 50 мп Цех;;
5260;5260;Визитки Печать 4+0 1-3 дня 240 Печатная;Печатная;Лазерная печать;Визитки;0.79;3.34;manual;low;80;0;3.04;;;;;high_price_variance;5260:Визитки Печать 4+0 1-3 дня 240 Печатная;;
6328;6328;Оклейка ровной поверхности пленкой 3-10 кв.м Цех;Цех;Оклейка;Самоклейка;455;1.26;manual;low;80;4;910;;;;4.8|9.6|10;high_price_variance;6328:Оклейка ровной поверхности пленкой 3-10 кв.м Цех;;
